Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;Öffentliche Stellen müssen ihre Internet-Seiten barriere-frei machen.\nWas bedeutet barriere-frei?\nAlle Menschen sollen die Internet-Seiten gut nutzen können.\nAuch Menschen mit Behinderung.
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;Die Stadt München arbeitet weiter an ihrer Internet-Seite.\nDie Internet-Seite soll für alle Menschen gut benutzbar sein.\nEs gibt schon viele Informationen in leichter Sprache.\nAber nicht alles ist schon gut benutzbar.\nDas will die Stadt München noch ändern.
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;Sie können fehlende Sachen bei der Barriere-Freiheit melden.\nUnd Sie können barriere-freie Informationen anfordern.
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;Durchsetzungsstelle in Bayern\n\nWir kontrollieren Websites.\nEine Website ist eine Seite im Internet.\n\n\nZum Beispiel von der Stadt-Verwaltung München.\nOder von einem Land-Rat oder einer Reha-Klinik.\nUnd noch von sehr vielen anderen öffentlichen Stellen.\n\n\nDie Kontrolle heißt: Barriere-Freiheit-Überwachung.\nKurz gesagt: BfÜ.\n\nWir sind die Barriere-Freiheit-Überwachung.\n\n\nWir kontrollieren:\n\nWerden Angebote von öffentlichen Stellen besser nutzbar gemacht?\n\nDas ist zum Beispiel wichtig für Menschen mit Behinderung.\nEine bessere Nutzung heißt:\nDas Angebot muss barriere-frei werden.\nManchmal müssen öffentliche Stellen den Menschen mit einer Behinderung gleich viel helfen\nwie anderen Menschen ohne Behinderung.
Wenn Ihre personenbezogenen Daten von der Landeshauptstadt München verarbeitet werden, können Sie als betroffene Person im Rahmen der gesetzlichen Regelungen von der Landeshauptstadt München Auskunft über die Sie betreffenden personenbezogenen Daten erhalten. Sind Daten unrichtig, so können Sie unter Umständen Berichtigung verlangen. Als betroffene Person haben Sie ferner unter bestimmten Voraussetzungen das gesetzliche Recht, die Daten löschen oder sperren zu lassen.;Was sind personen-bezogene Daten?\nDas sind zum Beispiel diese Informationen:\n* Ihr Name\n* Ihre Adresse\n* Ihre Telefon-Nummer\n* Ihr Geburts-Datum\n* Ihre E-Mail-Adresse\n* Ihre Kranken-Akte bei einem Arzt\n* Ihre Konto-Nummer\n* Wo Sie arbeiten\n* Welchen Beruf Sie haben\n\nSie dürfen selber entscheiden:\nWer darf Ihre persönlichen Daten erfahren?\nUnd wer darf die Daten nicht erfahren?\n\nDas deutsche Gesetz heißt:\nBundes-Datenschutz-Gesetz.\nMan sagt oft:\nBDSG.\nIn diesem Gesetz ist geregelt:\nWas bedeutet Datenschutz?\nWelche Rechte hat ein Mensch von dem seine persönlichen Daten bearbeitet werden?\n\nDie Landeshauptstadt München verarbeitet viele personen-bezogene Daten.\nZum Beispiel von Mitarbeitern und Mitarbeiterinnen.\nOder von Bürgerinnen und Bürgern.\n\nDie Landeshauptstadt München muss sich an das Bundes-Daten-Schutz-Gesetz halten.\n\nWollen Sie wissen:\nBenutzen die Ämter in der Landeshauptstadt München auch Ihre persönlichen Daten?\nZum Beispiel auf dem Computer?\nWir werden Ihnen darauf eine Antwort geben.\n\n\nWollen Sie wissen:\nWelche Daten haben die Ämter von der Landeshauptstadt München von Ihnen gespeichert?\nzum Beispiel: Ihre Adresse\nDann können Sie das eine Auskunft von der Landeshauptstadt München verlangen.\n\n\nSind die Daten falsch?\nDann haben Sie das Recht auf Berichtigung.\nDie Landeshauptstadt München muss die Daten verbessern.\n\nVereinzelt haben Sie als betroffene Person das Recht auf Löschung oder Sperrung von Daten.
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;Sie können dort viele Informationen bekommen.\nZum Beispiel:\nBarrierefreiheit von öffentlichen Gebäuden.\nBarrierefreiheit von Verkehrs-Mitteln.\nVeranstaltungen für ältere Menschen.\nBeratungs-Stellen für ältere Menschen.\nOder wo man ein Senioren-Taxi bestellen kann.\nDie Mitarbeiter von der Stadt-Information helfen Ihnen auch gerne.
In der Stadt-Information im Rathaus erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen. Die Mitarbeiter stehen den Besucherinnen und Besucher mit Rat und Hilfeleistung verschiedenster Art zur Verfügung.;Sie können sich in der Stadt-Information\nim Bürger-Büro informieren.\n\nIn der Stadt-Information bekommen Sie:\n\n    Anmelde-Formulare für das Bürger-Büro\n    Service-Angebote\n    Informationen rund um das Bürger-Büro\n\nIn der Stadt-Information helfen Ihnen die Mitarbeiter weiter.\n\nDie Stadt-Information finden Sie in dem Rathaus.\nDas Rathaus ist am Marienplatz.\n\nDer Eingang für die Stadt-Information\nist in diesem kleinen Haus:\n(barrierefrei)\nAdresse von der Stadt-Information:\nMarienplatz 8\n\nÖffnungs-Zeiten von der Stadt-Information:\nMontag bis Freitag von 8 Uhr morgens\nbis 16 Uhr 30 nachmittags\n\nSie können uns auch anrufen.\nDie Telefon-Nummer von der Stadt-Information ist:\n089 233 96000\n\nDas Tele-Servise-Zentrum antwortet Ihnen\nauch auf Ihre E-Mail-Anfrage.\nE-Mail-Adresse von der Stadt-Information:\nstadtinformation.rathaus@muenchen.de
Bei der Behördennummer wird der persönliche Kontakt groß geschrieben. Von Montag bis Freitag, 8 bis 18 Uhr, können den Mitarbeitenden der 115-Servicecenter Fragen gestellt werden. Die meisten Anliegen werden direkt beantwortet. Falls dies einmal nicht möglich ist, verspricht die 115 eine schnelle Rückmeldung.;Was ist die 115?\nDie 115 ist eine Telefon-Nummer.\nÜber die 115 kann man die Bürger-Büros in den Städten und Gemeinden erreichen.\nMan muss für die 115 nur eine Telefon-Nummer anrufen.\nMan muss sich keine vorherige Telefon-Nummer merken.\nGanz Deutschland macht das so.\nDas nennt man ein Service-Telefon.\nService ist das englische Wort für Dienst-Leistung.
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen.;Für Bürger mit Behinderung gibt es eine Hilfs-Rufnummer.\nDas ist eine extra Telefon-Nummer. Man kann dort anrufen.\nUnd man kann dort mit dem Handy eine Nachricht schreiben.\nDas ist wichtig, wenn man eine Frage hat.\nOder wenn man Hilfe braucht.\nDie Mitarbeiter im Service-Center helfen Ihnen.\nEin Mitarbeiter ist ein anderer Mensch. Der Ihnen eine Frage beantwortet.\nUnd Ihnen sagt, was Sie machen können.
Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung.;Manchmal sind Anfragen kompliziert.\nDiese Fragen werden an ein spezielles Büro weitergeleitet.\nDas spezielle Büro heißt Back-Office.\nEin eigenes Back-Office ist für das Beratungs-Zentrum da.\nMitarbeiterinnen und Mitarbeiter vom Back-Office arbeiten mit den Fachkräften zusammen.\nEin Fach-Mann oder eine Fach-Frau ist ein Experte für ein bestimmtes Thema.\nEin Experte kennt sich sehr gut mit einem Thema aus.\nDer Experte hilft den Mitarbeitern.\nDamit die Mitarbeiter schneller Hilfe bekommen.\nOder damit sie gar nicht weiter fragen müssen.\nDas Büro antwortet auf die Frage.\nUnd sagt, wer im Beratungs-Zentrum dem Anrufer weiterhelfen wird.
