Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;Die Stadt München ist eine öffentliche Stelle.\nDie Stadt München muss sich an die Regeln halten.\nDie Regeln stehen in der EU-Richtlinie 2016/2102.\nDie EU-Richtlinie gilt für alle Länder in der Europäischen Union.\nDie Europäische Union ist eine Gruppe\nvon vielen Ländern in Europa.\nDie Abkürzung für Europäische Union ist EU.;;
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;Die Stadt München arbeitet immer weiter daran.\nDie Internet-Seite soll noch weniger Barrieren haben.;;
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;Sie können uns schreiben,\nwenn Sie etwas nicht barriere-frei bekommen.\nZum Beispiel:\n* Sie können ein PDF-Dokument nicht lesen.\n* Sie können ein PDF-Dokument nicht ausdrucken.\n* Sie können ein PDF-Dokument nicht verändern.\n* Sie können ein PDF-Dokument nicht vorlesen lassen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Handy lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Tablet lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Computer lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Laptop lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem E-Book-Reader lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Smart-TV lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Smart-Phone lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrem Smart-Home-Gerät lesen.\n* Sie können ein PDF-Dokument nicht auf Ihrer Smart-Watch lesen.;;
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;Die Kontakt-Stelle hilft Ihnen.\nZum Beispiel:\n* Wenn Sie eine Frage haben.\n* Oder wenn Sie ein Problem haben.\n* Oder wenn Sie sich beschweren wollen.;;
Wenn Ihre personenbezogenen Daten von der Landeshauptstadt München verarbeitet werden, können Sie als betroffene Person im Rahmen der gesetzlichen Regelungen von der Landeshauptstadt München Auskunft über die Sie betreffenden personenbezogenen Daten erhalten. Sind Daten unrichtig, so können Sie unter Umständen Berichtigung verlangen. Als betroffene Person haben Sie ferner unter bestimmten Voraussetzungen das gesetzliche Recht, die Daten löschen oder sperren zu lassen.;Sie haben das Recht auf Auskunft.\nDas bedeutet:\nSie können die Landeshauptstadt München fragen:\nWelche Daten von mir hat die Landeshauptstadt München?\nZum Beispiel:\nHat die Landeshauptstadt München meinen Namen gespeichert?\nOder meinen Wohn-Ort?\nOder meinen Geburts-Tag?\nOder alles zusammen?\n\nSie haben das Recht auf Berichtigung.\nDas bedeutet:\nSie können der Landeshauptstadt München sagen:\nIhre Daten sind falsch.\nBitte ändern Sie das.\n\nSie haben das Recht auf Löschung.\nDas bedeutet:\nSie können der Landeshauptstadt München sagen:\nSie sollen meine Daten löschen.\nZum Beispiel:\nWeil ich das will.\nOder weil ich das nicht will.\nOder weil ich das früher mal wollte.\nAber jetzt will ich das nicht mehr.\n\nSie haben das Recht auf Einschränkung der Verarbeitung.\nDas bedeutet:\nSie können der Landeshauptstadt München sagen:\nSie sollen meine Daten nicht mehr benutzen.\nZum Beispiel:\nWeil ich das will.\nOder weil ich das nicht will.\nOder weil ich das früher mal wollte.\nAber jetzt will ich das nicht mehr.\n\nSie haben das Recht auf Daten-Übertragbarkeit.\nDas bedeutet:\nSie können der Landeshauptstadt München sagen:\nSie sollen meine Daten an jemand anderen schicken.\nZum Beispiel:\nAn eine andere Behörde.\nOder an eine Versicherung.\nOder an eine Firma.\nAber das geht nur, wenn Sie das wollen.\nUnd das geht nur, wenn das technisch möglich ist.\n\nSie haben das Recht auf Widerspruch.\nDas bedeutet:\nSie können der Landeshauptstadt München sagen:\nSie sollen meine Daten nicht mehr benutzen.\nZum Beispiel:\nWeil ich das will.\nOder weil ich das nicht will.\nOder weil ich das früher mal wollte.\nAber jetzt will ich das nicht mehr.\nDas nennt man Widerspruch.\nAber das geht nur, wenn Sie das wollen.\nUnd das geht nur, wenn das technisch möglich ist.\n\nSie haben das Recht auf Beschwerde.\nDas bedeutet:\nSie können sich beschweren.\nZum Beispiel:\nWeil Sie finden:\nDie Landeshauptstadt München hält sich nicht an die Datenschutz-Grund-Verordnung.\nOder die Landeshauptstadt München hält sich nicht an das Bundes-Daten-Schutz-Gesetz.\nOder die Landeshauptstadt München hält sich nicht an das Datenschutz-Gesetz von Bayern.\nDann können Sie sich beschweren.\nBei der Datenschutz-Aufsichts-Behörde.\nDie Datenschutz-Aufsichts-Behörde ist ein Amt.\nDie Datenschutz-Aufsichts-Behörde kontrolliert:\nHalten sich alle an die Datenschutz-Grund-Verordnung?\nHalten sich alle an das Bundes-Daten-Schutz-Gesetz?\nHalten sich alle an das Datenschutz-Gesetz von Bayern?\nDie Adresse von der Datenschutz-Aufsichts-Behörde ist:\nDer Landesbeauftragte für den Datenschutz\nund die Informationsfreiheit\nWagmüller-Straße 18\n80538 München\nTelefon: 089 212672-0\nTelefax: 089 212672-50\nE-Mail: poststelle@datenschutz-bayern.de\nSie können auch im Internet ein Formular ausfüllen.\nDas Formular ist auf der Internet-Seite von der Datenschutz-Aufsichts-Behörde.\nDie Internet-Seite ist:\nwww.datenschutz-bayern.de\nSie können sich auch an den Datenschutz-Beauftragten von der Landeshauptstadt München wenden.\nDer Datenschutz-Beauftragte ist ein Mitarbeiter von der Landeshauptstadt München.\nDer Datenschutz-Beauftragte berät die Landeshauptstadt München in allen Fragen zum Datenschutz.\nDer Datenschutz-Beauftragte kontrolliert:\nHält sich die Landeshauptstadt München an die Datenschutz-Grund-Verordnung?\nHält sich die Landeshauptstadt München an das Bundes-Daten-Schutz-Gesetz?\nHält sich die Landeshauptstadt München an das Datenschutz-Gesetz von Bayern?\nDer Datenschutz-Beauftragte ist neutral.\nDas bedeutet:\nDer Datenschutz-Beauftragte ist für alle Menschen da.\nDer Datenschutz-Beauftragte ist nicht nur für die Landeshauptstadt München da.\nDer Datenschutz-Beauftragte ist auch für die Mitarbeiter von der Landeshauptstadt München da.;;
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;Die Stadt-Information ist im Rathaus.\nDas Rathaus ist am Marien-Platz.\nDer Marien-Platz ist im Stadt-Zentrum.\nDas ist der Mittel-Punkt von München.\nIn der Stadt-Information bekommen Sie Informations-Hefte.\nDie Informations-Hefte sind kostenlos.\nIn den Informations-Heften steht zum Beispiel:\n* Was macht der Stadt-Rat?\n* Was macht der Ober-Bürgermeister?\n* Was macht die Stadt-Verwaltung?\n* Was macht der Bezirks-Ausschuss?\n* Was macht der Behinderten-Beirat?\n* Was macht der Senioren-Beirat?\n* Was macht der Ausländer-Beirat?\n* Was macht der Jugend-Beirat?\n* Was macht der Kinder-Beirat?\n* Was macht der Wirtschafts-Beirat?\n* Was macht der Kultur-Beirat?\n* Was macht der Sport-Beirat?\n* Was macht der Umwelt-Beirat?\n* Was macht der Verkehrs-Beirat?\n* Was macht der Sozial-Beirat?\n* Was macht der Bildungs-Beirat?\n* Was macht der Gesundheits-Beirat?\n* Was macht der Sicherheits-Beirat?\n* Was macht der Wissenschafts-Beirat?\n* Was macht der Technik-Beirat?\n* Was macht der Friedens-Beirat?\n* Was macht der Gleichstellungs-Beirat?\n* Was macht der Klima-Beirat?\n* Was macht der Tierschutz-Beirat?;;
In der Stadt-Information im Rathaus erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen. Die Mitarbeiter stehen den Besucherinnen und Besucher mit Rat und Hilfeleistung verschiedenster Art zur Verfügung.;Die Stadt-Information ist im Rathaus.\nDie Adresse ist:\nMarienplatz 8\n80331 München\n\nDie Stadt-Information ist im Erd-Geschoss.\nDas Erd-Geschoss ist der untere Teil vom Rathaus.\nDer Eingang ist barriere-frei.\nDas heißt:\nMenschen im Roll-Stuhl\nkönnen einfach hineinkommen.\n\nDie Stadt-Information ist dann geöffnet\n\nMontag, Dienstag, Mittwoch, Donnerstag und Freitag:\nImmer von 10 Uhr vormittags bis 18 Uhr abends\nSamstag:\nImmer von 10 Uhr vormittags bis 16 Uhr nachmittags;;
Bei der Behördennummer wird der persönliche Kontakt groß geschrieben. Von Montag bis Freitag, 8 bis 18 Uhr, können den Mitarbeitenden der 115-Servicecenter Fragen gestellt werden. Die meisten Anliegen werden direkt beantwortet. Falls dies einmal nicht möglich ist, verspricht die 115 eine schnelle Rückmeldung.;Die Behörden-Nummer 115 ist ein Service.\nService ist ein anderes Wort für Hilfe.\nDie Hilfe ist für alle Menschen.\nEgal, ob Sie in München wohnen.\nOder in einer anderen Stadt.\nEgal, ob Sie in München arbeiten.\nOder in einer anderen Stadt.\nEgal, ob Sie in München zu Besuch sind.\nOder in einer anderen Stadt.\nEgal, ob Sie in München Urlaub machen.\nOder in einer anderen Stadt.\nEgal, ob Sie in München studieren.\nOder in einer anderen Stadt.\nEgal, ob Sie in München zur Schule gehen.\nOder in einer anderen Stadt.;;
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen.;Die Behörden-Nummer 115 ist eine Telefon-Nummer.\nSie erreichen die Behörden-Nummer 115\nvon Montag bis Freitag.\nImmer von 8 Uhr morgens bis 18 Uhr abends.\nSie können vom Handy aus anrufen.\nOder von Ihrem Festnetz-Telefon.\nSie brauchen keine Vorwahl.\n\nSie können mit der Behörden-Nummer 115\nalle Fragen zur Stadt-Verwaltung von München stellen.\nZum Beispiel:\n* Wo bekomme ich einen neuen Reise-Pass?\n* Ich ziehe nach München.\n  Wo kann ich mich anmelden?\n* Wie bekomme ich Wohn-Geld?\n* Ich will heiraten.\n  Was muss ich tun?\n* Wie bekomme ich Eltern-Geld?\n* Wo bekomme ich ein Führungs-Zeugnis?\n* Ich habe ein neues Auto.\n  Ich muss zur Zulassungs-Stelle.\n  Wann hat die Zulassungs-Stelle geöffnet?\n\nSie bekommen meistens sofort eine Antwort.\nAm Telefon.\n\nManchmal ist die Frage besonders schwierig.\nDann sagt der Mitarbeiter zu Ihnen:\nSoll ich mich darum kümmern,\ndass Sie eine Antwort bekommen?\nDafür braucht der Mitarbeiter Ihre E-Mail-Adresse.\nOder Ihre Telefon-Nummer.\nSie bekommen die Antwort.\nAls E-Mail.\nOder ein Mitarbeiter ruft Sie an.\nVon der Stadt-Verwaltung.\nDas kann 1 Tag dauern.\n\nSie können auch im Internet nachschauen.\nAuf der Internet-Seite von der Stadt-Verwaltung.\nDie Internet-Seite heißt:\nwww.muenchen.de/115\nAuf der Internet-Seite gibt es viele Informationen.;;
Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung.;Das Back-Office ist ein spezielles Büro.\nDas Back-Office ist ein Teil von dem Büro für Bürgerschaftliches Engagement.\nDas Back-Office ist für schwere Anfragen.\nZum Beispiel:\nSie haben eine schwere Frage.\nSie haben eine schwere Beschwerde.\nSie haben eine schwere Anregung.\nSie haben eine schwere Kritik.;;
